Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,25,7,Some Random Commen with Id 0
1,0,9,128,4,Some Random Commen with Id 1
2,0,9,46,1,Some Random Commen with Id 2
3,0,9,4,6,Some Random Commen with Id 3
4,0,9,158,1,Some Random Commen with Id 4
5,0,9,182,7,Some Random Commen with Id 5
6,0,9,75,0,Some Random Commen with Id 6
7,0,9,67,5,Some Random Commen with Id 7
8,1,3,45,3,Some Random Commen with Id 8
9,1,3,56,9,Some Random Commen with Id 9
10,1,3,123,9,Some Random Commen with Id 10
11,3,6,128,4,Some Random Commen with Id 11
12,3,6,91,3,Some Random Commen with Id 12
13,3,6,187,5,Some Random Commen with Id 13
14,3,6,7,0,Some Random Commen with Id 14
15,3,6,2,8,Some Random Commen with Id 15
16,4,6,91,4,Some Random Commen with Id 16
17,4,6,57,5,Some Random Commen with Id 17
18,4,6,58,6,Some Random Commen with Id 18
19,4,6,194,7,Some Random Commen with Id 19
20,4,6,170,5,Some Random Commen with Id 20
21,4,6,65,7,Some Random Commen with Id 21
22,4,6,44,5,Some Random Commen with Id 22
23,5,2,112,5,Some Random Commen with Id 23
24,5,2,112,9,Some Random Commen with Id 24
25,5,2,170,7,Some Random Commen with Id 25
26,5,2,45,9,Some Random Commen with Id 26
27,5,2,147,2,Some Random Commen with Id 27
28,5,2,33,8,Some Random Commen with Id 28
29,6,4,3,9,Some Random Commen with Id 29
30,6,4,176,6,Some Random Commen with Id 30
31,6,4,80,1,Some Random Commen with Id 31
32,6,4,70,2,Some Random Commen with Id 32
33,6,4,127,9,Some Random Commen with Id 33
34,7,6,179,1,Some Random Commen with Id 34
35,7,6,37,5,Some Random Commen with Id 35
36,7,6,159,5,Some Random Commen with Id 36
37,8,0,139,1,Some Random Commen with Id 37
38,8,0,16,1,Some Random Commen with Id 38
39,8,0,125,8,Some Random Commen with Id 39
40,8,0,29,8,Some Random Commen with Id 40
41,8,0,59,9,Some Random Commen with Id 41
42,8,0,29,6,Some Random Commen with Id 42
43,8,0,197,7,Some Random Commen with Id 43
44,9,7,56,5,Some Random Commen with Id 44
45,9,7,89,6,Some Random Commen with Id 45
46,10,2,184,9,Some Random Commen with Id 46
47,11,2,191,9,Some Random Commen with Id 47
48,11,2,34,8,Some Random Commen with Id 48
49,12,4,81,9,Some Random Commen with Id 49
50,13,3,72,8,Some Random Commen with Id 50
51,13,3,6,4,Some Random Commen with Id 51
52,13,3,33,9,Some Random Commen with Id 52
53,13,3,141,2,Some Random Commen with Id 53
54,13,3,90,4,Some Random Commen with Id 54
55,13,3,150,9,Some Random Commen with Id 55
56,13,3,172,0,Some Random Commen with Id 56
57,14,2,118,9,Some Random Commen with Id 57
58,14,2,177,1,Some Random Commen with Id 58
59,14,2,55,4,Some Random Commen with Id 59
60,14,2,78,0,Some Random Commen with Id 60
61,14,2,11,0,Some Random Commen with Id 61
62,15,4,141,5,Some Random Commen with Id 62
63,15,4,176,1,Some Random Commen with Id 63
64,15,4,74,0,Some Random Commen with Id 64
65,15,4,49,7,Some Random Commen with Id 65
66,15,4,22,9,Some Random Commen with Id 66
67,16,1,80,8,Some Random Commen with Id 67
68,16,1,16,5,Some Random Commen with Id 68
69,17,4,15,9,Some Random Commen with Id 69
70,17,4,73,5,Some Random Commen with Id 70
71,17,4,198,6,Some Random Commen with Id 71
72,17,4,186,3,Some Random Commen with Id 72
73,17,4,173,1,Some Random Commen with Id 73
74,18,0,14,2,Some Random Commen with Id 74
75,18,0,139,5,Some Random Commen with Id 75
76,19,4,88,6,Some Random Commen with Id 76
77,19,4,130,4,Some Random Commen with Id 77
78,19,4,111,6,Some Random Commen with Id 78
79,20,2,162,6,Some Random Commen with Id 79
80,20,2,26,1,Some Random Commen with Id 80
81,20,2,26,3,Some Random Commen with Id 81
82,20,2,90,2,Some Random Commen with Id 82
83,20,2,90,0,Some Random Commen with Id 83
84,21,0,130,5,Some Random Commen with Id 84
85,22,3,159,1,Some Random Commen with Id 85
86,22,3,172,6,Some Random Commen with Id 86
87,22,3,64,3,Some Random Commen with Id 87
88,22,3,94,3,Some Random Commen with Id 88
89,22,3,84,1,Some Random Commen with Id 89
90,22,3,78,6,Some Random Commen with Id 90
91,22,3,167,5,Some Random Commen with Id 91
92,22,3,181,4,Some Random Commen with Id 92
93,22,3,35,4,Some Random Commen with Id 93
94,23,4,115,2,Some Random Commen with Id 94
95,23,4,124,1,Some Random Commen with Id 95
96,23,4,19,2,Some Random Commen with Id 96
97,23,4,15,5,Some Random Commen with Id 97
98,23,4,59,8,Some Random Commen with Id 98
99,23,4,166,0,Some Random Commen with Id 99
